Provinsi,Tahun,IPM,KMSKN,PMSKN,PEGR,PEGRjw,PE,PADm,TPENDm,BEKOm,BKESm,BPENm
Gorontalo,2018,67.71,15.83,"188,30",3.70,21892,6.49,384.44,1800.2,2110.6,1316.1,6016.4
Gorontalo,2019,68.49,15.31,"184,71",3.76,22382,6.4,433.43,1941.08,2288.6,1540.6,6438.9
Gorontalo,2020,68.68,15.59,"185,31",4.28,25410,-0.02,414.86,1862.65,1668.3,1701.5,6937.7
Gorontalo,2021,69,15.41,"184,60",3.01,17959,2.4,510.80,1972.99,2713.7,2144.5,6650.5
Gorontalo,2022,69.81,15.51,"187,35",2.58,16284,2.31,510.34,1848.59,4097.0,1941.0,5145.2
Gorontalo,2023,70.45,15.15,"183,71",3.06,19904,5.25,514.21,1866.19,0.0,0.0,0.0
Sulawesi Barat,2013,61.53,12.23,"154,20",2.35,13136,6.93,154.13,1073.86,1587.2,938.4,1803.6
Sulawesi Barat,2014,62.24,12.05,"154,69",2.08,12649,8.86,222.64,1240.24,1866.1,1103.3,2120.5
Sulawesi Barat,2015,62.96,11.9,"153,21",3.35,20644,7.31,273.51,1473.75,2167.5,1357.4,2614.5
Sulawesi Barat,2016,63.6,11.19,"146,90",3.33,21489,6.01,277.69,1688.61,2136.1,1742.6,1351.6
Sulawesi Barat,2017,64.3,11.18,"149,47",3.21,19744,6.39,296.94,1831.99,2014.3,2245.1,4005.8
Sulawesi Barat,2018,65.1,11.22,"152,83",3.01,19860,6.26,301.50,1819.09,2044.7,1749.6,3455.5
Sulawesi Barat,2019,65.73,10.94,"151,87",2.98,20286,5.56,345.21,2034.82,2216.3,1562.1,4412.0
Sulawesi Barat,2020,66.11,11.5,"159,05",3.32,23132,-2.34,346.86,2005.53,1493.1,1874.8,7832.2
Sulawesi Barat,2021,66.36,11.85,"165,99",3.13,22208,2.57,408.00,2024.67,3923.7,1491.6,5254.5
Sulawesi Barat,2022,66.92,11.92,"169,26",2.34,17545,2.31,457.41,1894.62,5046.7,1347.7,6034.4
Sulawesi Barat,2023,67.55,11.49,"164,14",2.27,17273,5.25,461.27,2016.57,0.0,0.0,0.0
Maluku,2013,66.09,19.27,"322,51",9.91,66292,5.24,304.38,1545.48,2254.0,1487.8,3412.9
Maluku,2014,66.74,18.44,"307,02",10.51,70653,6.64,425.43,1823.03,2513.5,1617.3,854.6
Maluku,2015,67.05,19.36,"327,78",9.93,72196,5.48,390.81,2132.59,2917.2,2143.2,5073.4
Maluku,2016,67.6,19.26,"331,79",7.05,52363,5.73,466.21,2547.55,3427.3,2556.7,1797.0
Maluku,2017,68.19,18.29,"320,42",9.29,65735,5.82,430.87,2817.05,2993.1,2692.3,12285.5
Maluku,2018,68.87,17.85,"317,84",6.95,55595,5.91,465.78,3074.61,3110.9,2543.4,13989.8
Maluku,2019,69.45,17.65,"319,51",6.69,54400,5.41,482.81,3108.91,3005.6,2628.0,8387.8
Maluku,2020,69.49,17.99,"322,40",7.57,63489,-0.91,545.75,3045.83,2283.1,2623.1,9615.7
Maluku,2021,69.71,16.3,"294,97",6.93,59589,3.63,545.75,3045.83,7053.6,2464.0,11725.8
Maluku,2022,70.22,16.23,"296,66",6.88,59737,5.31,637.95,2915.52,5934.5,2649.2,10678.0
Maluku,2023,70.94,16.42,"301,61",6.31,57504,5.21,664.66,3068.57,0.0,0.0,0.0
Maluku Utara,2013,64.78,7.64,"85,83",3.80,17987,6.36,165.89,1315.9,2168.0,1184.9,2556.0
Maluku Utara,2014,65.18,7.41,"84,79",5.29,25487,5.49,203.06,1508.58,2314.9,1265.2,2729.1
Maluku Utara,2015,65.91,6.22,"72,65",6.05,31058,6.10,236.05,1801.25,2615.3,1556.2,3531.7
Maluku Utara,2016,66.63,6.41,"76,40",4.01,21047,5.77,280.15,2022.3,4114.7,830.0,2095.6
Maluku Utara,2017,67.2,6.44,"78,28",5.33,27516,7.67,327.47,2275.58,2836.1,1787.9,7067.1
Maluku Utara,2018,67.76,6.62,"81,93",4.63,26565,7.86,358.33,2489.07,2445.3,2026.4,7611.9
Maluku Utara,2019,68.7,6.91,"87,18",4.81,27874,6.25,433.45,2688.17,2938.7,2607.4,8884.4
Maluku Utara,2020,68.49,6.97,"87,52",5.15,29997,5.39,447.29,2581.18,2090.7,2696.7,9042.8
Maluku Utara,2021,68.76,6.38,"81,18",4.71,28133,16.79,552.35,2876.95,7404.1,3476.0,6363.1
Maluku Utara,2022,69.47,6.37,"82,13",3.98,24273,22.94,779.23,3088.71,8073.8,2819.9,6488.2
Maluku Utara,2023,70.21,6.46,"83,80",4.31,28600,20.49,461.26,2336.48,0.0,0.0,0.0
Papua Barat,2013,60.91,27.14,"234,23",4.40,16554,7.36,236.28,5637.7,4580.7,1133.7,3397.9
Papua Barat,2014,61.28,26.26,"225,46",5.02,19988,5.38,306.67,5762.35,5565.8,1120.8,2102.0
Papua Barat,2015,61.73,25.73,"225,54",8.08,33409,4.15,322.80,5840.35,6101.5,1566.1,5016.7
Papua Barat,2016,62.21,24.88,"223,60",7.46,32457,4.52,338.81,6740.39,1961.1,1055.8,483.8
Papua Barat,2017,62.99,23.12,"212,86",6.49,27952,4.02,470.07,7800.89,6032.0,1154.5,7631.7
Papua Barat,2018,63.74,22.66,"213,67",6.45,28972,6.25,459.24,7309.84,5923.4,1270.1,9300.4
