Negara;Tahun;A;B;C;D;E;F;G;H;I;J;K;L;M
Korsel;2002;0,49;0,80;0,24;0,92;0,75;0,75;35,5;13,9;27,8;7,73;3,840;4,014;3,046
Korsel;2003;0,54;0,79;0,25;0,80;0,72;0,72;37,1;4,3;28,5;3,15;3,855;4,283;3,348
Korsel;2004;0,38;0,82;0,43;0,91;0,79;0,73;38,5;5,1;29,8;5,20;3,870;4,267;3,42
Korsel;2005;0,59;0,92;0,49;0,97;0,81;0,75;40,4;14,4;31,1;4,31;3,885;4,548;3,482
Korsel;2006;0,30;0,98;0,42;0,84;0,72;0,69;43,5;5,6;32,5;5,26;3,899;4,849;3,254
Korsel;2007;0,57;1,20;0,57;1,01;0,92;0,70;46,5;8,7;34,2;5,80;3,571;4,955;3,013
Korsel;2008;0,43;0,99;0,42;0,86;0,73;0,66;48,5;12;35;3,01;3,243;5,246;2,959
Korsel;2009;0,50;1,02;0,41;0,99;0,85;0,71;52;-25,3;35,1;0,79;3,914;5,659;3,363
Korsel;2010;0,43;1,15;0,33;1,01;0,92;0,74;54,8;38,7;37,3;6,80;3,528;5,820;3,324
Korsel;2011;0,48;1,16;0,41;1,03;0,98;0,73;56,6;11,9;38,4;3,69;3,713;5,915;2,992
Korsel;2012;0,50;1,07;0,27;0,98;0,87;0,73;59,8;-3,1;39,1;2,40;3,898;6,033;2,812
Korsel;2013;0,58;1,00;0,28;0,95;0,99;0,71;62;9;40,1;3,16;4,083;6,151;2,747
Korsel;2014;0,51;1,04;0,11;1,01;1,13;0,68;64,8;-4,2;41,2;3,20;4,268;6,404;3,082
Korsel;2015;0,34;0,98;0,16;0,90;1,10;0,63;67,6;1,3;42,1;2,81;4,454;6,589;3,546
Korsel;2016;0,42;1,02;0,15;1,13;1,10;0,64;70,9;-0,8;43,2;2,95;4,333;6,870;3,65
Korsel;2017;0,45;1,03;0,38;1,13;1,09;0,76;72,6;1,8;44,4;3,16;4,328;7,047;3,653
Korsel;2018;0,57;1,14;0,64;1,20;1,09;0,80;76,6;5,4;45,5;2,91;4,458;7,491;3,824
Korsel;2019;0,70;1,33;0,55;1,16;1,06;0,75;81,1;-0,5;46,4;2,24;4,685;8,175;3,746
Korsel;2020;0,70;1,37;0,61;1,15;1,02;0,82;86,6;-4,5;46;-0,71;4,802;8,350;3,931
Korsel;2021;0,73;1,37;0,63;1,10;1,09;0,93;89,1;10,1;48;4,30;4,866;9,331;3,639
Korsel;2022;0,75;1,35;0,58;1,16;1,15;0,88;94,7;6;49,4;2,61;4,265;9,720;2,857
Korsel;2023;0,89;1,40;0,61;1,25;1,12;0,86;98,5;-12,5;50;1,36;3,664;5,787;2,675
Indonesia;2000;-0,91;-0,37;-2,00;-0,70;-0,26;-0,27;22,1;2,4;6,06;4,92;3,063;1,853;6,077
