Kabupaten,Tahun,PDRB,PE(%),TPT(%),Kemiskinan_(P0)_(%),IPM , Anggaran_PAD, Realisasi_PAD, Anggaran_Transf, Realisasi_Transf, Ekonomi, Kesehatan, Pendidikan
Luwu Timur,2023,17928.43,9.66,5.42,6.93,74.35,382.64,392.67,1076.76,1097.07,290.68,425.11,373.02
Luwu Timur,2024,18514.53,3.27,4.58,6.55,74.95,391.30,136.72,1179.78,989.06,341.53,486.66,399.64
Luwu Utara,2015,6122.22,6.67,2.6,13.87,67.44,76.70,84.67,544.44,626.11,82.12,202.55,308.68
Luwu Utara,2016,6580.9,7.49,2.96,14.36,67.81,79.66,141.00,809.38,807.01,15.45,81.54,94.01
Luwu Utara,2017,7081.17,7.60,3.31,14.33,68.35,94.57,109.66,1082.89,1073.88,72.42,238.11,262.39
Luwu Utara,2018,7675.2,8.39,3.87,13.69,68.79,106.95,113.28,633.99,624.86,67.02,253.93,306.27
Luwu Utara,2019,8221.2,7.11,2.76,13.6,69.46,121.82,128.59,764.38,739.85,74.70,238.32,325.72
Luwu Utara,2020,8172.74,-0.59,3.01,13.41,69.57,143.82,107.77,742.62,672.57,62.63,255.37,322.41
Luwu Utara,2021,8491.5,3.90,3.91,13.59,70.02,112.89,122.26,737.56,722.95,156.11,273.88,333.41
Luwu Utara,2022,8876.97,4.54,2.81,13.22,70.51,134.35,93.14,741.99,737.67,345.03,269.71,323.69
Luwu Utara,2023,9331.06,5.12,2.63,12.66,71.34,111.73,110.73,655.46,664.16,159.42,242.81,374.98
Luwu Utara,2024,9732.44,4.30,2.39,11.24,72.07,116.35,90.00,656.26,638.85,125.87,283.83,390.87
Maros,2015,10916.73,8.44,6.99,11.85,67.13,125.05,141.49,767.84,865.57,85.76,168.90,366.48
Maros,2016,11954,9.50,6.92,11.41,67.76,180.01,165.49,1143.37,1163.36,66.69,211.18,364.94
Maros,2017,12768.32,6.81,6.85,11.14,68.42,180.35,195.00,803.71,682.41,84.63,217.23,365.59
Maros,2018,13558.74,6.19,6.19,10.31,68.94,202.65,219.81,972.83,960.44,80.04,243.12,389.73
Maros,2019,13726.28,1.24,4.42,9.89,69.5,266.42,248.75,1122.21,1104.61,68.14,273.42,377.48
Maros,2020,12233.66,-10.87,6.28,9.74,69.86,311.28,219.10,1127.77,1032.87,39.53,271.51,392.66
Maros,2021,12400.62,1.36,6.3,9.57,70.41,304.84,221.49,1041.77,1023.79,55.41,258.29,356.54
Maros,2022,13532.96,9.13,5.04,9.43,71,295.60,286.34,1137.20,1124.57,255.96,281.64,362.50
Maros,2023,14210.16,5.00,3.64,9.65,71.63,296.93,312.49,1177.05,1200.46,271.07,284.59,429.92
Maros,2024,14748.76,3.79,4.34,9.32,72.11,307.96,225.35,1205.29,1238.22,208.53,357.27,489.20
Pangkajene Dan Kepulauan,2015,13367.01,7.63,7.01,16.7,66.65,125.36,143.98,492.76,588.31,89.87,204.94,436.46
Pangkajene Dan Kepulauan,2016,14477.29,8.31,7.03,16.22,66.86,154.60,156.23,839.21,730.12,99.48,242.65,439.27
Pangkajene Dan Kepulauan,2017,15433.5,6.60,7.05,16.22,67.25,160.53,162.62,939.05,983.17,68.41,286.54,420.46
