Kabupaten,Tahun,PDRB,PE(%),TPT(%),Kemiskinan_(P0)_(%),IPM , Anggaran_PAD, Realisasi_PAD, Anggaran_Transf, Realisasi_Transf, Ekonomi, Kesehatan, Pendidikan
Gowa,2016,11166.02,7.57,5.55,8.4,67.7,159.98,187.18,1376.80,1309.60,86.20,243.74,576.83
Gowa,2017,11971.36,7.21,6.14,8.42,68.33,158.74,268.34,1305.74,1403.73,66.50,296.12,557.25
Gowa,2018,12825.81,7.14,4.8,7.83,68.87,189.36,217.11,1395.32,1387.32,68.01,318.10,578.25
Gowa,2019,13783.11,7.46,4.35,7.53,69.66,198.48,238.24,1441.88,1426.98,61.69,328.31,616.55
Gowa,2020,14025.76,1.76,6.44,7.38,70.14,224.47,241.47,1508.57,1415.17,49.72,369.39,571.22
Gowa,2021,15043.7,7.26,4.3,7.54,70.29,198.48,260.89,1446.53,1411.48,223.18,415.25,564.87
Gowa,2022,15734.85,4.59,3.26,7.36,70.99,235.43,237.05,1402.29,1369.67,398.17,327.84,542.12
Gowa,2023,16650.36,5.82,3.43,7.42,71.57,233.95,283.44,1434.82,1435.18,395.10,391.94,599.59
Gowa,2024,17547,5.39,3.91,6.85,72.26,270.48,209.73,1604.74,848.30,262.79,420.75,683.76
Jeneponto,2015,5085.92,6.54,4,15.18,61.61,64.00,61.27,674.45,788.96,83.25,152.27,315.59
Jeneponto,2016,5508.83,8.32,3.66,15.49,61.81,77.55,77.64,1139.72,1122.34,45.63,18.56,10.88
Jeneponto,2017,5963.56,8.25,3.31,15.4,62.67,113.18,97.93,957.63,940.52,93.48,267.55,299.15
Jeneponto,2018,6338.74,6.29,2.81,15.48,63.33,120.91,91.99,1037.71,1026.45,59.31,208.98,344.28
Jeneponto,2019,6685.62,5.47,1.99,14.88,64,140.83,101.09,1156.61,1131.33,61.33,300.78,408.48
Jeneponto,2020,6696.42,0.16,2.31,14.58,64.26,138.24,109.19,1070.12,1001.44,44.64,250.54,339.98
Jeneponto,2021,7058.35,5.40,2.38,14.28,64.56,144.98,99.14,1024.27,997.58,71.98,302.37,367.30
Jeneponto,2022,7327.53,3.81,2.21,13.73,65.13,118.12,102.73,947.16,938.20,126.05,275.91,353.45
Jeneponto,2023,7466.55,1.90,2.13,13.06,65.9,111.68,116.34,900.86,906.12,86.15,284.47,394.80
Jeneponto,2024,7916.7,6.03,2.47,11.82,66.38,116.61,165.34,1095.81,1107.63,91.72,374.27,403.72
Kepulauan Selayar,2015,2724.4,8.83,0.9,12.94,64.32,39.32,40.23,584.52,603.53,79.03,99.67,156.10
Kepulauan Selayar,2016,2924.72,7.35,1.62,13.11,64.95,46.48,43.17,774.28,751.55,97.84,129.42,167.40
Kepulauan Selayar,2017,3147.39,7.61,2.34,13.28,65.39,57.18,77.30,947.08,928.73,72.73,133.72,160.78
Kepulauan Selayar,2018,3422.67,8.75,1.88,13.13,66.04,71.27,63.94,1012.29,1007.45,90.22,185.01,161.92
Kepulauan Selayar,2019,3685.67,7.68,1.1,12.83,66.91,73.91,73.17,903.88,867.09,93.84,167.01,225.41
Kepulauan Selayar,2020,3620.2,-1.78,2.44,12.48,67.38,84.68,66.37,989.24,861.15,65.39,206.86,250.44
Kepulauan Selayar,2021,3765.56,4.02,2.81,12.45,67.76,87.07,54.96,912.67,881.46,123.94,251.28,259.82
Kepulauan Selayar,2022,3903.8,3.67,1.49,12.24,68.35,64.21,54.42,925.34,904.26,156.09,222.83,232.61
